source_field	include_value	exclude_value	filter_group_id	comments
dataset_name		SHARK_Zoobenthos_2016_PELA_GVVF		
dataset_name		SHARK_Zoobenthos_2016_PELA_STV		
dataset_name		SHARK_Zoobenthos_2016_PELA_YNR_Kopmanholmen		
dataset_name		SHARK_Zoobenthos_2016_PELA_YNR_Vasternorrland		
dataset_name	SHARK_Zoobenthos_2016_SLC-T			
dataset_name		SHARK_Zoobenthos_2016_SLUA		
dataset_name		SHARK_Zoobenthos_2016_SLUA_Forsmark		
dataset_name		SHARK_Zoobenthos_2016_TOXICO_NVSKK		
#dataset_name		SHARK_Zoobenthos_2016_UMSC_SSAB		Borttaget paket pga omleverans
dataset_name	SHARK_Zoobenthos_2017_2020_SLC-T			
dataset_name		SHARK_Zoobenthos_2017_BDLST_Pitea		
dataset_name	SHARK_Zoobenthos_2017_DEEP			
dataset_name		SHARK_Zoobenthos_2017_DEEP_ABLST		
dataset_name	SHARK_Zoobenthos_2017_DEEP_Asko			
dataset_name		SHARK_Zoobenthos_2017_DEEP_ELST		
dataset_name		SHARK_Zoobenthos_2017_DEEP_ILST		
dataset_name		SHARK_Zoobenthos_2017_HBGMILJO		
dataset_name	SHARK_Zoobenthos_2017_LNU			
dataset_name		SHARK_Zoobenthos_2017_LNU_BKVF		
dataset_name		SHARK_Zoobenthos_2017_LNU_Kalmar		
dataset_name		SHARK_Zoobenthos_2017_LNU_Kalmar_KVK		
dataset_name		SHARK_Zoobenthos_2017_LNU_VHVVF		
dataset_name		SHARK_Zoobenthos_2017_MEDINS		
dataset_name		SHARK_Zoobenthos_2017_MEDINS_LVX		
dataset_name		SHARK_Zoobenthos_2017_MMAB		
dataset_name		SHARK_Zoobenthos_2017_NIRAS_OVF		
dataset_name		SHARK_Zoobenthos_2017_PAG_NLST_Halland_Vendelsoarna		
dataset_name		SHARK_Zoobenthos_2017_PAG_NLST_HallandsKVK		
dataset_name		SHARK_Zoobenthos_2017_PAG_NLST_Kungsbacka		
dataset_name		SHARK_Zoobenthos_2017_PAG_NLST_Kungsbackanatur		
dataset_name		SHARK_Zoobenthos_2017_SLUA_Forsmark		
dataset_name		SHARK_Zoobenthos_2017_SWECO_NKS		
dataset_name		SHARK_Zoobenthos_2017_TOXICO_NVSKK		
dataset_name		SHARK_Zoobenthos_2017_UMSC_HAV_ADB		
#dataset_name		SHARK_Zoobenthos_2017_UMSC_SSAB		Borttaget paket pga omleverans
dataset_name		SHARK_Zoobenthos_2018_2019_UMSC_BDLST		
dataset_name	SHARK_Zoobenthos_2018_DEEP			
dataset_name		SHARK_Zoobenthos_2018_DEEP_ABLST		
dataset_name	SHARK_Zoobenthos_2018_DEEP_Asko			
dataset_name		SHARK_Zoobenthos_2018_DEEP_DLST		
dataset_name		SHARK_Zoobenthos_2018_DEEP_ILST		
dataset_name		SHARK_Zoobenthos_2018_HBGMILJO		
dataset_name	SHARK_Zoobenthos_2018_LNU			
dataset_name		SHARK_Zoobenthos_2018_LNU_BKVF		
dataset_name		SHARK_Zoobenthos_2018_LNU_Kalmar		
dataset_name		SHARK_Zoobenthos_2018_LNU_Kalmar_KVK		
dataset_name		SHARK_Zoobenthos_2018_MEDINS_SCAP		
dataset_name		SHARK_Zoobenthos_2018_NIRAS_OVF		
dataset_name		SHARK_Zoobenthos_2018_PAG_NLST_Halland		
dataset_name		SHARK_Zoobenthos_2018_PAG_NLST_Halland_Vendelsoarna		
dataset_name		SHARK_Zoobenthos_2018_PAG_NLST_HallandsKVK		
dataset_name		SHARK_Zoobenthos_2018_PAG_NLST_Kungsbacka		
dataset_name		SHARK_Zoobenthos_2018_PAG_NLST_Kungsbackanatur		
dataset_name		SHARK_Zoobenthos_2018_PAG_NLST_Stora_Middelgrund_Rode_Morups		
dataset_name		SHARK_Zoobenthos_2018_PELA_GVVF		
dataset_name		SHARK_Zoobenthos_2018_PELA_STV		
#dataset_name		SHARK_Zoobenthos_2018_SLC-T_Bratten		Borttaget paket pga omleverans
dataset_name		SHARK_Zoobenthos_2018_SLUA_BDLST		
dataset_name		SHARK_Zoobenthos_2018_SLUA_Forsmark		
dataset_name		SHARK_Zoobenthos_2018_SWECO_NKS		
dataset_name		SHARK_Zoobenthos_2018_TOXICO_NVSKK		
#dataset_name		SHARK_Zoobenthos_2018_UMSC_SSAB		Borttaget paket pga omleverans
#dataset_name		SHARK_Zoobenthos_2018_UMSC_YLST		Borttaget paket pga omleverans
dataset_name		SHARK_Zoobenthos_2019_DEEP_ABLST		
dataset_name		SHARK_Zoobenthos_2019_DEEP_DOX		
dataset_name		SHARK_Zoobenthos_2019_DEEP_ELST		
dataset_name		SHARK_Zoobenthos_2019_DEEP_ELST_extra		
dataset_name	SHARK_Zoobenthos_2019_DEEP_HAV			
dataset_name	SHARK_Zoobenthos_2019_DEEP_HAV_Asko			
dataset_name		SHARK_Zoobenthos_2019_DEEP_ILST		
dataset_name	SHARK_Zoobenthos_2019_LNU			
dataset_name		SHARK_Zoobenthos_2019_LNU_BLK		
dataset_name		SHARK_Zoobenthos_2019_LNU_HLS		
dataset_name		SHARK_Zoobenthos_2019_LNU_HNO		
dataset_name		SHARK_Zoobenthos_2019_LNU_KAL		
dataset_name		SHARK_Zoobenthos_2019_LNU_VHRK		
dataset_name		SHARK_Zoobenthos_2019_MEDINS_LVX		
dataset_name		SHARK_Zoobenthos_2019_MMAB		
dataset_name		SHARK_Zoobenthos_2019_NIRAS_NVSKK		
dataset_name		SHARK_Zoobenthos_2019_NIRAS_OVF		
dataset_name		SHARK_Zoobenthos_2019_PAG_NLST_Halland_1		
dataset_name		SHARK_Zoobenthos_2019_PAG_NLST_Halland_2		
dataset_name		SHARK_Zoobenthos_2019_PAG_NLST_Halland_3		
dataset_name		SHARK_Zoobenthos_2019_PAG_NLST_Halland_4		
